house_count,kfs,url,price,cj_count,name,location,year,coordinate,build_type,wy,build_count
87户,成都万华房地产开发有限公司,http://yuelinhu.fang.com/,44778,0套,麓山国际悦林湖,麓山大道二段6号,2010年建成,,独栋,成都麓山物业管理有限公司,86栋
3286户,滕王阁地产,http://ludaoguojishequ028.fang.com/3/,23373,96套,鹭岛国际三期,鹭岛路36号,2009年建成,,板楼,成都腾王阁物业管理有限公司,7栋
1462户,成都佳兆业投资有限公司,http://weidengjunjzy.fang.com/,14603,22套,佳兆业威登郡,双流县航港路1313号,2013年建成,,塔楼,成都佳兆业物业管理公司,24栋
1296户,成都市华东房地产开发有限公司,http://xixianyangguang.fang.com/,15132,10套,西线阳光,黄金路9号,2007年建成,,板楼,成都家园物业管理公司,7栋
546户,成都市景发投资有限公司,http://jingmaomingdu.fang.com/3/,12139,0套,景茂名都三期,东升街道迎春桥社区（航都大道和商都路交汇）,2015年建成,,塔楼,景灿物业公司,4栋
1723户,成都俊发房地产开发有限责任公司,http://shiguangjunyuan.fang.com/,22006,73套,时光俊园,青羊区光华西三路30号,2013年建成,,"塔楼,板塔结合",俊发物业,8栋
486户,四川星慧投资,http://shujunbieshu.fang.com/,17585,0套,蜀郡别墅,华府大道518号,2012年建成,,"联排,叠拼",中铁瑞城物业,57栋
5008户,成都世茂置业有限公司,http://shimaocheng.fang.com/4/,15257,25套,世茂城四期,天鹅西湖南路6号,2015年建成,,塔楼,世茂物业,17栋
1385户,华润置地（成都）有限公司,http://feicuichenghr.fang.com/,30547,53套,翡翠城,华润路1号（东湖国际旁边）,2012年建成,,塔楼,华润置地物业,17栋
3337户,保利华阳投资有限公司,http://baoliyeyu028.fang.com/,17221,22套,保利叶语,华府大道三段（双华路与华府大道交汇处）,2016年建成,,塔楼,保利物业,29栋
832户,成都润成投资有限公司,http://tianfumeian.fang.com/,17398,3套,天府美岸,南湖风景区南岸河滨路中段(二江寺水文化主题游园旁),2015年建成,,板塔结合,长城物业集团股份有限公司,5栋
1530户,保利地产,http://baihehuayuanbl028.fang.com/,29543,69套,保利百合花园,高新区富华北路（成都七中旁）,2014年建成,,板塔结合,保利物业,8栋
240户,成都新业置业有限公司,http://059596.fang.com/,9861,0套,蓝泊湾,牧马山（长桥郡旁）,2013年建成,,联排,四川瑞信物业有限公司,40栋
2628户,成都市三和房地产开发有限责任公司,http://binghehuayuanhy.fang.com/,13725,163套,华阳滨河花园,华阳伏龙路二段117号,2005年建成,,板楼,成都三和锦阳物业有限公司,56栋
20户,龙湖地产,http://xiaoyuanqingchenglh.fang.com/esf/,18875,0套,龙湖小院青城,青城山大三路2号,2012-01-01,,"独栋,叠拼",成都龙湖物业服务有限公司,5栋
282户,成都郫县蓝光和骏置业有限公司,http://gongyuanyuefulg.fang.com/,14726,0套,蓝光公园悦府,区金牛大道金泉路,2017年建成,,"板楼,塔楼",蓝光嘉宝物业服务公司,4栋
1606户,成都万华房地产开发有限公司,http://yunxitails.fang.com/,18809,45套,麓山国际社区云曦台,人民南路南延线麓山大道二段六号（麓山1号内）,2015年建成,,板楼,成都麓山物业管理有限公司,7栋
1446户,成都万科置业有限公司,http://meilizhichengwk028.fang.com/3/,21282,71套,万科魅力之城三期,万科南街2号,2008年建成,,板塔结合,成都万科物业服务有限公司,35栋
564户,成都天府置信实业有限公司,http://luhugong.fang.com/,14561,3套,鹭湖宫别墅,温江区春江南路88号,2011年建成,,"独栋,双拼,叠拼",成都和达物业服务有限责任公司（置信和达）,88栋
5286户,成都西玺置业有限公司,http://fulaiminggelh028.fang.com/,15489,192套,龙湖弗莱明戈一期,高专路1号（郫县新政府对面）,2012年建成,,"板楼,塔楼",成都龙湖物业服务有限公司,24栋
3480户,成都双流富豪实业有限责任公司,http://konggangshiliuqu.fang.com/,13759,139套,空港十六区,机场路近都段16号,2010年建成,,板塔结合,百信物业,23栋
1024户,成都国贸房地产开发公司,http://jindouhuayuan.fang.com/,15532,73套,金都花园,蜀汉中路526号,2003年建成,,板楼,成都国贸物业管理有限公司,18栋
1369户,蛟龙投资发展有限公司,http://jiaolongyinzuo2.fang.com/,10099,13套,蛟龙银座一期,蛟龙工业港乌江路352号,2008年建成,,塔楼,成都智胜物业,6栋
314户,成都瀚翔置业有限公司,http://hanchengguoji028.fang.com/esf/,9125,0套,瀚城国际,凤凰西6路28号（幸福家园对面）,2012-12-01,,板塔结合,深圳花样年彩生活,4栋
6924户,四川华宇房地产开发有限公司,http://baolicheng.fang.com/esf/,13797,117套,保利城四期中央郡,北新大道东（大天路旁）,2015-06-01,,塔楼,保利物业有限公司成都分公司,34栋
1016户,成都招商博时房地产开发有限公司,http://zhongyanghuachengzs.fang.com/esf/,11481,0套,招商中央华城,建设南路（成华大道与中环路交汇处）,2017-12-01,,板塔结合,成都招商物业有限公司,4栋
129户,成都万华房地产开发有限公司,http://shengbabalalsgj.fang.com/,18009,6套,麓山国际圣芭芭拉,人民南路南延线麓山大道二段6号,2010年建成,,叠拼,成都麓山物业管理有限公司,62栋
2616户,中海兴业（成都）发展有限公司,http://cuipingwanzh.fang.com/,22747,283套,中海翠屏湾,泰和二街333号,2011年建成,,板楼,成都中海物业管理有限公司,12栋
518户,四川华乘万青置地发展有限公司,http://yinglizhuangyuan028.fang.com/,10797,11套,英郦庄园,郫温路国色天乡旁,2012年建成,,板塔结合,成都和达物业服务有限责任公司（置信和达）,10栋
2760户,成都中铁置业有限公司,http://gelasizt.fang.com/,11388,169套,西郡英华二期,港通北一路333号,2013年建成,,板塔结合,中铁瑞城物业管理公司,9栋
820户,成都万华房地产开发有限公司,http://pasadinalsgjlz.fang.com/,19707,10套,麓山国际麓镇帕萨迪纳,人民南路南延线麓山大道二段6号,2009年建成,,板楼,成都麓山物业管理有限公司,11栋
1285户,成都森宇实业集团有限公司,http://meiyinhegusy.fang.com/,13082,99套,森宇美茵河谷,同兴东路398号,2007年建成,,塔楼,森宇物业,14栋
2254户,成都市国嘉志得置业有限公司,http://guanghuayijia.fang.com/,23809,124套,光华逸家,青羊区光华东三路401号,2014年建成,,板楼,成都国嘉物业管理有限公司,14栋
1240户,成都万厦置业有限公司,http://xihuating028.fang.com/,13007,51套,西花汀,天宝西街299号,2007年建成,,板楼,成都和盟物业管理有限公司,14栋
4704户,"
										,
										,
									",http://shuiandongli.fang.com/,13267,9套,水岸东里,跳蹬河南街5号,2000年建成,,板楼,成都钱江银通物业管理有限公司,22栋
260户,成都格兰西亚置业有限公司,http://huashangjinrongzhongxin.fang.com/esf/,29227,0套,中国华商金融中心,金融城交子大道,2016-12-31,,塔楼,高力国际物业顾问有限公司,2栋
106户,成都万华房地产开发有限公司,http://changdao.fang.com/,32577,1套,麓山国际长岛,麓山大道二段6号,2012年建成,,独栋,成都麓山物业管理有限公司,106栋
1944户,中铁房地产集团四川有限公司,http://qingxiuchengzt.fang.com/,12205,105套,中国铁建青秀城,致顺路555号,2012年建成,,板塔结合,力宝物业有限公司,13栋
51户,成都万华房地产开发有限公司,http://lushanguojixiangshupo.fang.com/,35307,0套,麓山国际橡树坡,南延线天府大道末端麓山大道,2007年建成,,联排,成都麓山物业管理有限公司,51栋
1224户,成都常青藤置业有限公司,http://jinhuicheng028.fang.com/esf/,7772,0套,锦汇城,公平街办科锦路355号（公平镇和万春镇交汇处）,2017-06-01,,塔楼,成都宜居资产管理有限公司,6栋
644户,成都佳成时代投资有限公司,http://jianianhuaguangchang.fang.com/,13073,0套,佳年华广场,成华区峨眉山路369号,2016年建成,,塔楼,四川通用物业管理有限责任公司,2栋
775户,成都合创锦城实业有限公司,http://jinchengnanfu.fang.com/,17071,2套,锦城南府,剑南大道中段中央公园旁（伊藤洋华堂高新店旁）,2015年建成,,"板楼,塔楼",成都明远物业发展有限公司,4栋
2772户,成都市鼎诚达房地产开发有限公司,http://jiazhaoye8hao.fang.com/,14059,62套,佳兆业8号,航都大街（白衣上街与航都大街交汇处400米处）,2014年建成,,塔楼,成都佳兆业物业管理有限公司,8栋
1104户,华润置地(成都)发展有限公司,http://feicuicheng.fang.com/2/,29312,48套,翡翠城二期,华润路2号（临翡翠城商业街）,2005年建成,,板楼,华润物业管理公司,20栋
970户,成都华人房地产开发有限责任公司,http://meizhouhuayuan.fang.com/3/,14897,20套,美洲花园加州阳光,南三环五段188号,2006年建成,,板楼,成都美洲花园管理有限公司,5栋
3004户,成都金隅大成房地产开发有限公司,http://dachengjun028.fang.com/,15468,45套,大成郡,大件路120号（西南民族大学旁）,2015年建成,,塔楼,大成金隅,13栋
