,bus_name,bus_type,bus_time,bus_cost,bus_company,bus_update,bus_length,line_x,sites_x_list,line_y,sites_y_list
1041,成都1041路公交车路线,社区巴士,运行时间：九康五路口--九康五路口(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团运兴巴士有限公司,最后更新：2017-12-03,[],成都1041路公交车路线(九康五路口—九康五路口)共 14 站,"['九康五路口', '九金街', '九金路南', '业兴北路北', '武青西二路', '武青西二路东', '武青东二路', '潮音大道', '潮音大道北', '三环路草金立交桥西', '永康路双星大道口', '九金路南', '九金路', '九康五路口']",[],[]
1042,成都1042路公交车路线,社区巴士,运行时间：蓝谷地--蓝谷地(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1042路公交车路线(蓝谷地—蓝谷地)共 16 站,"['蓝谷地', '国槐街成龙大道口', '川师南大门', '菱安路南', '菱安路中', '川师大附中', '菱窠路西', '菱窠路', '劼人路', '川师北大门', '大观堰', '国槐街北', '国槐街', '国槐街海桐路口', '国槐街南', '蓝谷地']",[],[]
1043,成都1043路公交车路线,社区巴士,运行时间：金泽路中--金泽路中(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团运兴巴士有限公司,最后更新：2017-12-04,[],成都1043路公交车路线(金泽路中—金泽路中)共 18 站,"['金泽路中', '蜀辉路金泽路口', '蜀辉路', '金阳路西', '金阳路中', '金阳路', '金阳路东', '青羊大道中', '金沙遗址东门', '黄苑街东', '黄苑街黄忠路口', '黄忠路', '蜀汉路', '同怡路蜀汉路口', '同怡路', '同怡路黄苑街口', '金泽路', '金泽路中']",[],[]
1044,成都1044路公交车路线,社区巴士,运行时间：琉三路--琉三路(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-03,[],成都1044路公交车路线(琉三路—琉三路)共 17 站,"['琉三路', '琉三路中', '琉三路西', '桦林园', '经天中路', '皇经社区', '经天路中', '经天路', '琉璃一街', '锦绣大道锦华路口', '锦绣大道经天东路口', '锦绣大道金像寺', '锦绣大道成龙路口', '三环路娇子立交桥西', '三环娇子立交内侧', '三环娇子立交南内侧', '琉三路']",[],[]
1045,成都1045路公交车路线,社区巴士,运行时间：吉福路口--吉福路口(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团运兴巴士有限公司,最后更新：2017-12-03,[],成都1045路公交车路线(吉福路口—吉福路口)共 18 站,"['吉福路口', '太平村', '顺和街武侯大道口', '顺和街', '果堰村十一组', '果堰街中', '武草路南', '武草路', '果丰路北侧', '果堰小区', '草金东路', '阳公桥', '晋吉北路北', '晋吉西二街口', '晋吉北路', '晋吉北路南', '晋吉南路', '吉福路口']",[],[]
1046,成都1046路公交车路线,社区巴士,运行时间：菱窠路西--菱窠路西(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1046路公交车路线(菱窠路西—菱窠路西)共 10 站,"['菱窠路西', '沙河铺路口', '川师北大门', '大观堰', '锦绣大道大观堰', '锦绣大道佳宏南横街口', '菱窠路锦绣大道口', '菱窠路东', '菱窠路', '菱窠路西']",[],[]
1047,成都1047路公交车路线,社区巴士,运行时间：华林小区--华林小区 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1047路公交车路线(华林小区—华林小区)共 15 站,"['华林小区', '东华二路口', '东华一路口', '成华大道三段', '十里店', '十里店公交站', '二仙桥东路', '二仙桥北路口', '二仙桥北路中', '二仙桥北二路', '二仙桥北二路中', '下涧漕路南', '下涧漕路北', '华林一路', '华林小区']",[],[]
1048,成都1048路公交车路线,社区巴士,运行时间：成宏路中--成宏路中(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1048路公交车路线(成宏路中—成宏路中)共 20 站,"['成宏路中', '华翰路成宏路口', '华翰路中', '航天路华翰路口', '航天路', '航天路口东', '华冠路', '鹤林小区', '成宏路口', '华泰路成宏路口', '华泰路北', '龙港路西', '龙潭寺三环立交桥东', '隆兴路', '隆兴路口', '华冠路北', '华冠路口', '华彩路龙港路口', '华彩路北', '成宏路中']",[],[]
105,成都105路公交车路线,常规线路,运行时间：东顺路--蜀蓉路 东顺路06:30-21:00 蜀蓉路07:00-21:30,票价信息：无人售票 主动刷卡 无卡投币 高档车2元,成都公交集团运兴巴士有限公司,最后更新：2017-12-03,[],成都105路公交车路线(东顺路—蜀蓉路)共 14 站,"['东顺路', '贝森路', '贝森路东', '新文化宫', '金沙公交站', '铁门坎', '二环成温路口', '二环府南新区', '二环清溪西路口', '蜀汉路东', '同友路口', '一品天下大街', '一品天下大街中', '蜀蓉路']",成都105路公交车路线(蜀蓉路—东顺路)共 14 站,"['蜀蓉路', '蜀兴西街', '一品天下大街', '蜀汉路同和路口', '同友路口', '蜀汉路东', '二环府南新区', '二环战旗东路口', '西南财大', '金沙公交站', '贝森路东', '贝森路', '贝森路西', '东顺路']"
1050,成都1050路公交车路线,社区巴士,运行时间：三瓦窑街--三瓦窑街(单循环) 07:30-08:30 17:30-18:30,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团星辰巴士有限公司,最后更新：2017-12-04,[],成都1050路公交车路线(三瓦窑街—三瓦窑街)共 7 站,"['三瓦窑街', '金桂路', '桂溪路中', '桂溪路', '科华南路北', '金桂路西', '三瓦窑街']",[],[]
1051,成都1051路公交车路线,社区巴士,运行时间：蜀跃路西--蜀跃路西(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团运兴巴士有限公司,最后更新：2017-12-04,[],成都1051路公交车路线(蜀跃路西—蜀跃路西)共 17 站,"['蜀跃路西', '迎宾大道蜀汉西路口', '兴盛东路口', '兴盛东路', '兴盛西路', '金科南路', '金科南二路', '科兴南路东', '科兴南路', '科兴北路西', '科兴北路东', '金牛宾馆', '迎宾大道北', '迎宾大道', '迎宾大道口', '蜀跃路中', '蜀跃路西']",[],[]
1052,成都1052路公交车路线,社区巴士,运行时间：晨辉北路南--晨辉北路南(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-04,[],成都1052路公交车路线(晨辉北路南—晨辉北路南)共 11 站,"['晨辉北路南', '锦绣大道晨辉北路口', '成都市社科院', '成仁路沙河大桥', '锦沙路中', '锦沙路东', '晨辉二街', '晨辉路', '晨辉北路北', '晨辉北路', '晨辉北路南']",[],[]
1053,成都1053路公交车路线,社区巴士,运行时间：国香街海棠路口--国香街海棠路口(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团东星巴士有限公司,最后更新：2017-12-03,[],成都1053路公交车路线(国香街海棠路口—国香街海棠路口)共 14 站,"['国香街海棠路口', '海棠路西', '枫树街中', '牡丹街', '牡丹街东', '锦江大道南', '锦江大道成龙路口', '幸福梅林', '枫树街口', '枫树街南', '国香街东', '国香街中', '国香街西', '国香街海棠路口']",[],[]
1054,成都1054路公交车路线,社区巴士,运行时间：高车一路--高车一路(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团北星巴士有限公司,最后更新：2017-12-04,[],成都1054路公交车路线(高车一路—高车一路)共 12 站,"['高车一路', '高车一路西', '高笋塘', '高笋塘', '地铁驷马桥站', '驷马桥路中', '驷马桥路东', '府青路口', '府青路三段', '二环三友路口', '高车一路东', '高车一路']",[],[]
1055,成都1055路公交车路线,社区巴士,运行时间：天仁北一街中--天仁北一街中(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团星辰巴士有限公司,最后更新：2017-12-03,[],成都1055路公交车路线(天仁北一街中—天仁北一街中)共 20 站,"['天仁北一街中', '和平小区', '天仁路', '东苑', '桂溪路', '桂溪路中', '金桂路', '桂溪东路西', '桂溪东路东', '顺锦路中', '顺锦路南', '三环桂溪立交内侧', '三环天府立交东内侧', '三环天府立交西内侧', '都会路南', '都会路中', '盛和一路', '天仁路西', '天和西二街北', '天仁北一街中']",[],[]
1056,成都1056路公交车路线,社区巴士,运行时间：光华东三路--光华东三路(单循环) 07:00-21:00,票价信息：无人售票 主动刷卡(次数卡免费) 无卡投币 高档车2元,成都公交集团运兴巴士有限公司,最后更新：2017-12-04,[],成都1056路公交车路线(光华东三路—光华东三路)共 14 站,"['光华东三路', '光华东三路东', '武青大道口', '万家湾', '光华大道一段东一站', '凯德风尚', '光华西三路东', '光华北五路中', '光华北五路北', '成飞大道成温路口', '市妇女儿童中心医院', '光华东一路', '光华东三路西', '光华东三路']",[],[]
