,address,detail,detail_info,line_count,location,name,query_name,street_id,telephone,uid
83ed809b7632a9f44c6d46e9,29路;33路;239路,0,,1,"{'lat': 30.701347, 'lng': 103.935468}",精城花园,精城花园,,,83ed809b7632a9f44c6d46e9
83f892de099cd924ad080f8a,74路;220路;501路,0,,4,"{'lat': 30.585855, 'lng': 104.075023}",天府大道锦尚东路口,天府大道锦尚东路口,,,83f892de099cd924ad080f8a
8400309439ba6e4d9122e08a,853a路,0,,1,"{'lat': 30.67886, 'lng': 104.374782}",温家坡,温家坡,,,8400309439ba6e4d9122e08a
841630aaa0746431f603b84b,162路;238路,0,,2,"{'lat': 30.616177, 'lng': 104.064039}",新光路机场路口,新光路机场路口,,,841630aaa0746431f603b84b
84274cbec7577a57018972c9,804路;s09路,0,,1,"{'lat': 30.572167, 'lng': 103.971624}",机场南四路口,机场南四路口,,,84274cbec7577a57018972c9
84373b27f2aac3d96e20b9d8,601路,0,,2,"{'lat': 30.749838, 'lng': 104.208661}",中塑成都国际贸易中心,中塑成都国际贸易中心,,,84373b27f2aac3d96e20b9d8
84572066fa33cdbf5cd4fe26,61路;65路;71路;75路;342路;1125路,0,,6,"{'lat': 30.669653, 'lng': 104.112128}",建设南新路南,建设南新路南,,,84572066fa33cdbf5cd4fe26
84be6b5bd3f9c49dd5b74e34,85路;128路;136路;1063路;g38路,0,,3,"{'lat': 30.689321, 'lng': 104.168752}",三环成致路口外侧,三环成致路口外侧,,,84be6b5bd3f9c49dd5b74e34
84e9ebf710b5a7a5118824b5,4路;4路快线;58路;98路;138路;141路,0,,5,"{'lat': 30.651694, 'lng': 104.111146}",双桥子,双桥子,,,84e9ebf710b5a7a5118824b5
84ec18f3cc118d7c0c0a70e1,759路,0,,1,"{'lat': 30.664914, 'lng': 103.83378}",新华大道二段,新华大道二段,,,84ec18f3cc118d7c0c0a70e1
850ff43a4a26a6e9dbd891c1,1075路,0,,1,"{'lat': 30.659457, 'lng': 104.042883}",百卉路,百卉路,,,850ff43a4a26a6e9dbd891c1
857c7165fe194ecdaf04570c,1026路,0,,1,"{'lat': 30.654646, 'lng': 104.132163}",长天路北,长天路北,,,857c7165fe194ecdaf04570c
858d3f77352c165e73455b54,104路;120路;138路;1087路,0,,2,"{'lat': 30.640723, 'lng': 104.111411}",二环海椒市东街口,二环海椒市东街口,,,858d3f77352c165e73455b54
858d84e108045342fbf0cbb3,712路;715路;727路,0,,2,"{'lat': 30.789293, 'lng': 103.990159}",石亭村,石亭村,,,858d84e108045342fbf0cbb3
85b2bd7cf871accdc929155c,72路;146路;180路;313路;342路;1013路,0,,5,"{'lat': 30.673107, 'lng': 104.119869}",sm广场,SM广场,,,85b2bd7cf871accdc929155c
85d10db0c404471e2efaa73a,241路;t34路,0,,1,"{'lat': 30.529722, 'lng': 104.123247}",华新路,华新路,,,85d10db0c404471e2efaa73a
85e2c41ba141751b5ed4fe53,710路;712路;p08路;p18路;p22路;p51路,0,,1,"{'lat': 30.810244, 'lng': 103.976532}",平安村四组,平安村四组,,,85e2c41ba141751b5ed4fe53
86222d03d6ffb4e40f0e6bd6,机场路常乐一段36,1,"{'tag': '房地产;住宅区', 'navi_location': {'lng': 103.9847924748, 'lat': 30.57732363865}, 'type': 'house', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=86222d03d6ffb4e40f0e6bd6&output=html&source=placeapi_v2', 'price': '4438.0', 'overall_rating': '4.0'}",1,"{'lat': 30.579111, 'lng': 103.983513}",成信家园,成信家园,86222d03d6ffb4e40f0e6bd6,,86222d03d6ffb4e40f0e6bd6
8654e24cf5cb2cfcc236445b,89路;212路,0,,2,"{'lat': 30.715933, 'lng': 103.999551}",黄金大道北,黄金大道北,,,8654e24cf5cb2cfcc236445b
8667e24cf5cb2cfcc236444e,12路;133路;336路;405路;854a路;855路;890路,0,,6,"{'lat': 30.630459, 'lng': 104.17434}",大面文化广场,大面文化广场,,,8667e24cf5cb2cfcc236444e
867078aa28780e6feedfca27,313路,0,,1,"{'lat': 30.543584, 'lng': 104.255511}",佳美路口,佳美路口,,,867078aa28780e6feedfca27
87330bbefdaefb7594ec84f2,12路;63路;79路;92路;93路;114路;502路;1006路;1023路,0,,9,"{'lat': 30.629042, 'lng': 104.058028}",二环神仙树路口,二环神仙树路口,,,87330bbefdaefb7594ec84f2
87363d178b9bee1a28b97ca9,62路;70路;93路,0,,3,"{'lat': 30.67232, 'lng': 104.062476}",长顺中街,长顺中街,,,87363d178b9bee1a28b97ca9
87599d6d3b91337df50e772d,x10路;x13路;x40路;x43路,0,,1,"{'lat': 30.836743, 'lng': 104.172034}",东环路口1站,东环路口一站,,,87599d6d3b91337df50e772d
879216b2bee87efb43024525,1034路,0,,1,"{'lat': 30.640593, 'lng': 104.031324}",永盛路东,永盛路东,,,879216b2bee87efb43024525
8794d6dad9744e11095cb387,230路;1117路,0,,2,"{'lat': 30.634124, 'lng': 104.129392}",地铁塔子山公园站,地铁塔子山公园站,,,8794d6dad9744e11095cb387
879557bedeb12dd1c27da2a1,202路;720a路;720路;p04路;p07路;p40路;p51路,0,,2,"{'lat': 30.809452, 'lng': 103.928179}",滨河春天小区,滨河春天小区,,,879557bedeb12dd1c27da2a1
87a167c033d272cfa5da392c,13路;736路,0,,1,"{'lat': 30.712521, 'lng': 103.980644}",两河路口,两河路口,,,87a167c033d272cfa5da392c
87c9ef43a5998fdb03ec0134,1041路,0,,1,"{'lat': 30.647554, 'lng': 103.979563}",业兴北路北,业兴北路北,,,87c9ef43a5998fdb03ec0134
87d237d454bf22ad8733045e,大面街道金茶路500号,1,"{'tag': '教育培训;中学', 'navi_location': {'lng': 104.19482202344, 'lat': 30.578268289722}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=87d237d454bf22ad8733045e&output=html&source=placeapi_v2', 'price': '0'}",2,"{'lat': 30.577555, 'lng': 104.194173}",北大成都附属实验学校,北大成都附属实验学校,87d237d454bf22ad8733045e,,87d237d454bf22ad8733045e
87f5faabe2c65e20631c6767,22路,0,,1,"{'lat': 30.72033, 'lng': 103.932396}",开园路,开园路,,,87f5faabe2c65e20631c6767
882608e52623f3d88bfc062a,103路;530路,0,,2,"{'lat': 30.754585, 'lng': 104.055228}",成彭路东风渠,成彭路东风渠,,,882608e52623f3d88bfc062a
887be4ebb910f1563ce23177,195路;257路,0,,2,"{'lat': 30.531377, 'lng': 104.092779}",应龙南一路南,应龙南一路南,,,887be4ebb910f1563ce23177
889258fb37566814ca1b959a,152g路,0,,1,"{'lat': 30.598981, 'lng': 104.099123}",毕生路东,毕生路东,,,889258fb37566814ca1b959a
88bd50385b9d9628c8213d68,863路,0,,1,"{'lat': 30.595604, 'lng': 104.228395}",车城大道东风渠,车城大道东风渠,,,88bd50385b9d9628c8213d68
88ce1450ab6d80f3306212f6,44路;235b路,0,,1,"{'lat': 30.724788, 'lng': 103.989114}",土龙路汇川街口,土龙路汇川街口,,,88ce1450ab6d80f3306212f6
88e87eebf79507ec4f3a59df,59路;61路;111路,0,,1,"{'lat': 30.619145, 'lng': 104.06195}",紫荆东路东,紫荆东路东,,,88e87eebf79507ec4f3a59df
8902b913e77590c05e0d0293,8路;16路;45路;61路;63路;78路;99路;118路;1025路;夜间专线298路,0,,8,"{'lat': 30.644772, 'lng': 104.073013}",人民南路三段中,人民南路三段中,,,8902b913e77590c05e0d0293
893fe3cae406738a2bb97c97,75路;431路,0,,2,"{'lat': 30.621846, 'lng': 104.106698}",东怡街,东怡街,,,893fe3cae406738a2bb97c97
89468af5d27fe52a88db7393,170路;1024路;1075路,0,,3,"{'lat': 30.664574, 'lng': 104.040345}",浣花南路,浣花南路,,,89468af5d27fe52a88db7393
